date,cindex
2017-08-04,11.72168042
2017-08-05,5.984135674
2017-08-06,4.86522025
2017-08-07,4.911061867
2017-08-08,3.548575419
2017-08-09,7.864421799
2017-08-10,5.424080559
2017-08-11,6.774118197
2017-08-12,9.460979851
2017-08-13,4.629874597
2017-08-14,4.698342328
2017-08-15,6.692890272
2017-08-16,4.74394554
2017-08-17,5.483543536
2017-08-18,5.92430825
2017-08-19,5.241224145
2017-08-20,6.583711897
2017-08-21,5.80511082
2017-08-22,4.198397612
2017-08-23,4.199279124
2017-08-24,5.123189418
2017-08-25,3.639480141
2017-08-26,4.774255152
2017-08-27,4.868164833
2017-08-28,6.329332428
2017-08-29,7.015374371
2017-08-30,3.406354613
2017-08-31,4.925184108
2017-09-01,7.901155401
2017-09-02,9.878127004
2017-09-03,13.62592299
2017-09-04,9.778636125
2017-09-05,8.253983444
2017-09-06,3.780852346
2017-09-07,4.442256666
2017-09-08,3.033943763
2017-09-09,5.13962652
2017-09-10,7.869079851
2017-09-11,5.686524174
2017-09-12,4.461647916
2017-09-13,3.855050116
2017-09-14,4.771618414
2017-09-15,3.739670668
2017-09-16,5.340975705
2017-09-17,7.917231384
2017-09-18,5.783334154
2017-09-19,3.5129373
2017-09-20,3.73296084
2017-09-21,5.478799428
2017-09-22,7.958807144
2017-09-23,4.369225234
2017-09-24,8.16337279
2017-09-25,6.236582353
2017-09-26,4.832668841
2017-09-27,4.922914365
2017-09-28,5.948273811
2017-09-29,6.169628492
2017-09-30,3.783722426
2017-10-01,6.166042722
2017-10-02,6.081245439
2017-10-03,5.588153115
2017-10-04,4.726828692
2017-10-05,2.076843198
2017-10-06,7.012349527
2017-10-07,9.517503931
2017-10-08,3.099539497
2017-10-09,11.81979361
2017-10-10,11.95457262
2017-10-11,11.06851066
2017-10-12,11.16694584
2017-10-13,9.170009899
2017-10-14,16.67774883
2017-10-15,13.81726396
2017-10-16,14.39275283
2017-10-17,12.76752288
2017-10-18,26.69076105
2017-10-19,10.90372651
2017-10-20,12.71373622
2017-10-21,17.43983258
2017-10-22,15.44713515
2017-10-23,9.861096384
2017-10-24,19.12243527
2017-10-25,17.70436776
2017-10-26,13.59815395
2017-10-27,4.88403026
2017-10-28,10.22828176
2017-10-29,6.443374454
2017-10-30,4.489080052
2017-10-31,7.682044232
2017-11-01,3.586580042
2017-11-02,6.29729318
2017-11-03,5.241671287
2017-11-04,2.867668145
2017-11-05,6.739982701
2017-11-06,5.739083156
2017-11-07,10.63445564
2017-11-08,10.01823318
2017-11-09,12.4238538
2017-11-10,7.976759072
2017-11-11,6.381954761
2017-11-12,2.326045059
2017-11-13,2.248201439
2017-11-14,3.20798789
2017-11-15,10.37323902
2017-11-16,6.119709413
2017-11-17,7.051065605
2017-11-18,9.693638417
2017-11-19,14.87753383
2017-11-20,5.297311614
2017-11-21,17.91375233
2017-11-22,13.60503684
2017-11-23,13.98494224
2017-11-24,11.98167725
2017-11-25,15.66981048
2017-11-26,26.78695903
2017-11-27,27.72876229
2017-11-28,13.675122
2017-11-29,17.79593411
2017-11-30,9.341979956
2017-12-01,6.768068963
2017-12-02,8.305251401
2017-12-03,9.354988041
2017-12-04,8.738076167
2017-12-05,8.179260631
